Site,Treatment,Plant Species,phylo_dist,Label,Data
3SS,CasDecCelIgu,CelIgu,231.6,ant,0
3SS,CasDecCelIgu,CelIgu,231.6,herbivore,1
3SS,CasDecCelIgu,CelIgu,231.6,phloem_feeder,1
3SS,CasDecCelIgu,CelIgu,231.6,pollinator,0
3SS,CasDecCelIgu,CelIgu,231.6,predator,0
3SS,CasDecTreMic,TreMic,231.6,ant,0
3SS,CasDecTreMic,TreMic,231.6,herbivore,0
3SS,CasDecTreMic,TreMic,231.6,phloem_feeder,0
3SS,CasDecTreMic,TreMic,231.6,pollinator,1
3SS,CasDecTreMic,TreMic,231.6,predator,0
3SS,CasSyl,CasSyl,0,ant,0
3SS,CasSyl,CasSyl,0,herbivore,0
3SS,CasSyl,CasSyl,0,phloem_feeder,2
3SS,CasSyl,CasSyl,0,pollinator,0
3SS,CasSyl,CasSyl,0,predator,0
3SS,CasSylCelIgu,CasSyl,231.6,ant,1
3SS,CasSylCelIgu,CasSyl,231.6,herbivore,0
3SS,CasSylCelIgu,CasSyl,231.6,phloem_feeder,0
3SS,CasSylCelIgu,CasSyl,231.6,pollinator,0
3SS,CasSylCelIgu,CasSyl,231.6,predator,0
3SS,CasSylTreMic,CasSyl,231.6,ant,0
3SS,CasSylTreMic,CasSyl,231.6,herbivore,0
3SS,CasSylTreMic,CasSyl,231.6,phloem_feeder,2
3SS,CasSylTreMic,CasSyl,231.6,pollinator,0
3SS,CasSylTreMic,CasSyl,231.6,predator,0
3SS,CelIgu,CelIgu,0,ant,1
3SS,CelIgu,CelIgu,0,herbivore,1
3SS,CelIgu,CelIgu,0,phloem_feeder,3
3SS,CelIgu,CelIgu,0,pollinator,0
3SS,CelIgu,CelIgu,0,predator,1
3SS,CelIguTreMic,TreMic,134.3,ant,0
3SS,CelIguTreMic,TreMic,134.3,herbivore,0
